frame,time_sec,mediapipe_processed,hand_detected,thumb_x,thumb_y,index_x,index_y,middle_x,middle_y,wrist_x,wrist_y,active_x,active_y,active_std_reference_distance,active_x_std_px,active_y_std_px,active_std_total_px,active_x_std_norm,active_y_std_norm,active_std_total_norm,active_std_valid_frames,reference_distance,thumb_index_ratio,index_middle_ratio,thumb_middle_ratio,pinch_detected,pinch_detected_frame_count,thumb_ip_angle,index_pip_angle,middle_pip_angle,direction_sign_x,direction_sign_y,rolling_direction_change_count_x,rolling_direction_change_count_y,rolling_repetition_count
81,2.6666666666666665,1,1,643.9102172851562,254.36842918395996,595.2035903930664,357.9210948944092,574.2487716674805,375.07667541503906,544.0337371826172,162.80908584594727,619.5569038391113,306.14476203918457,,,,,,,,0,99.18468346819887,1.1537620935365782,0.27304314670028096,1.405127565652607,0,0,163.04689694297667,172.47558680515155,178.1470202485415,0,0,0,0,0
82,2.7,0,1,643.9102172851562,254.36842918395996,595.2035903930664,357.9210948944092,574.2487716674805,375.07667541503906,544.0337371826172,162.80908584594727,619.5569038391113,306.14476203918457,,,,,,,,0,99.18468346819887,1.1537620935365782,0.27304314670028096,1.405127565652607,0,0,163.04689694297667,172.47558680515155,178.1470202485415,0,0,0,0,0
83,2.7333333333333334,0,1,643.9102172851562,254.36842918395996,595.2035903930664,357.9210948944092,574.2487716674805,375.07667541503906,544.0337371826172,162.80908584594727,619.5569038391113,306.14476203918457,,,,,,,,0,99.18468346819887,1.1537620935365782,0.27304314670028096,1.405127565652607,0,0,163.04689694297667,172.47558680515155,178.1470202485415,0,0,0,0,0
84,2.7666666666666666,1,1,648.9892578125,258.1269836425781,590.3847885131836,358.67231369018555,567.5785446166992,374.81964111328125,543.4095001220703,165.42108535766602,619.6870231628418,308.39964866638184,,,,,,,,0,99.89283215626313,1.165028894326519,0.2797386819050344,1.4243715241363235,0,0,158.661618851007,172.58775211496084,177.4591661650032,0,0,0,0,0
85,2.8,0,1,648.9892578125,258.1269836425781,590.3847885131836,358.67231369018555,567.5785446166992,374.81964111328125,543.4095001220703,165.42108535766602,619.6870231628418,308.39964866638184,,,,,,,,0,99.89283215626313,1.165028894326519,0.2797386819050344,1.4243715241363235,0,0,158.661618851007,172.58775211496084,177.4591661650032,0,0,0,0,0
86,2.8333333333333335,0,1,648.9892578125,258.1269836425781,590.3847885131836,358.67231369018555,567.5785446166992,374.81964111328125,543.4095001220703,165.42108535766602,619.6870231628418,308.39964866638184,,,,,,,,0,99.89283215626313,1.165028894326519,0.2797386819050344,1.4243715241363235,0,0,158.661618851007,172.58775211496084,177.4591661650032,0,0,0,0,0
87,2.8666666666666667,1,1,640.6133270263672,263.6337661743164,580.4043960571289,359.54798698425293,556.8741226196289,374.88083839416504,539.4599914550781,167.2969150543213,610.508861541748,311.59087657928467,,,,,,,,0,97.41983267160217,1.1624530848541614,0.28828884653999504,1.4292920532671336,0,0,159.39429323464736,172.20789223027117,176.87099784669584,0,0,0,0,0
88,2.9,0,1,640.6133270263672,263.6337661743164,580.4043960571289,359.54798698425293,556.8741226196289,374.88083839416504,539.4599914550781,167.2969150543213,610.508861541748,311.59087657928467,,,,,,,,0,97.41983267160217,1.1624530848541614,0.28828884653999504,1.4292920532671336,0,0,159.39429323464736,172.20789223027117,176.87099784669584,0,0,0,0,0
89,2.933333333333333,0,1,640.6133270263672,263.6337661743164,580.4043960571289,359.54798698425293,556.8741226196289,374.88083839416504,539.4599914550781,167.2969150543213,610.508861541748,311.59087657928467,,,,,,,,0,97.41983267160217,1.1624530848541614,0.28828884653999504,1.4292920532671336,0,0,159.39429323464736,172.20789223027117,176.87099784669584,0,0,0,0,0
90,2.966666666666667,1,1,637.30712890625,267.89846420288086,568.9790725708008,359.41792488098145,545.6106948852539,374.1728210449219,535.0411987304688,169.31316375732422,603.1431007385254,313.65819454193115,,,,,,,,0,95.92203956881038,1.1906822956425187,0.28811642761774187,1.4633290265600303,0,0,163.07351522445956,171.96732493046494,177.6179655996661,0,0,0,0,0
